product_id,warehouse_id,customer_location,customer_zipcode,Cost_to_customer,delivery_period,delivery_cost,customer_review
P0170,W077,"H.No. 883, Gulati Street, Bandapalle, Chittoor, Andhra Pradesh, 517127, India",517127,1500.11,0,57.89,2
P0395,W133,"006, Bumb Circle, Nauhara, AZAMGARH, Uttar Pradesh, 223222, India",223222,13621.74,1,211.83,1
P0019,W187,"H.No. 92, Rao Street, Tiruvannamalai RS, TIRUVANNAMALAI, Tamil Nadu, 606601, India",606601,6566.49,0,0.71,2
P0483,W132,"25, Yadav Nagar, Hiwara BK, AMRAVATI, Maharashtra, 444701, India",444701,8202.33,2,271.44,4
P0014,W180,"H.No. 97, Narayan Ganj, Jalbhari, LAKHIMPUR, Assam, 787055, India",787055,11578.68,5,396.57,3
P0497,W102,"636, Varty Ganj, Sadholi Quadeem, SAHARANPUR, Uttar Pradesh, 247121, India",247121,9288.96,2,83.16,3
P0395,W103,"H.No. 52, Pandey Chowk, Pardi KH, NANDED, Maharashtra, 431810, India",431810,13731.93,3,348.15,5
P0036,W069,"05/142, Saran Path, Dighaldori, NAGAON, Assam, 782103, India",782103,6420.9,3,0.31,5
P0486,W192,"H.No. 621, Rao Marg, Muthunaickenpatti, DINDIGUL, Tamil Nadu, 624618, India",624618,7518.36,0,64.13,1
P0323,W141,"41/28, Taneja Ganj, Mota Jambuda, BHARUCH, Gujarat, 393130, India",393130,5566.17,3,114.63,5
P0244,W135,"H.No. 776, Chadha Zila, Rekhpur, KANSHIRAM NAGAR, Uttar Pradesh, 207123, India",207123,5387.64,4,250.4,1
P0037,W054,"62/85, Kothari Street, Sadi, CHITTORGARH, Rajasthan, 312023, India",312023,5152.88,0,65.46,1
P0123,W009,"H.No. 07, Chad Path, Wahlong, East Khasi Hills, Megalaya, 793108, India",793108,14437.84,2,422.87,1
P0487,W001,"536, Lal Road, Korion, KAUSHAMBI, Uttar Pradesh, 212205, India",212205,9946.27,3,168.39,1
P0162,W049,"13, Kannan Marg, Bhawaniganj Kota, PRATAPGARH, Uttar Pradesh, 230143, India",230143,7798.26,1,318.69,2
P0282,W079,"H.No. 60, Peri Ganj, Bharsoi, KHAGARIA, Bihar, 851216, India",851216,1489.78,3,398.64,2
P0467,W069,"41/646, Kaur Zila, Choriwad, SABARKANTHA, Gujarat, 383440, India",383440,3499.9,1,306.79,4
